Hombres	Mujeres
    9.3	    9
    9.8	    9.6
    9.8	    9.7
    9.9	    9.9
    9.3	    8.9
    10	    9.8
    9.5	    9.5
    7.7	    6.9
    9.5	    9.5
    11.4   10.8
    9.1	    9.2
    8.5	    8.3
    8	    7.6
    8.8	    8.6
    9.3	    9.2
    9.8	    9.3
    8	    7.9
    9.4	    9.2
    9.1	    9.3
    10.5    10.1
    7.8	    7.2
    8.7	    8.3
    9.8	    9.3
    9.8	    9.4
    8.8	    8.8
    9.6	    9.6
    10	    10
    9.5	    9.1
    9.6	    9.4
    9.4	    9.1
    8.4	    8
    9	    8.6
    8.5	    8.8
