pH5	DZA5	F5	M5	OH5	CL5 	PO45	SUL5	STD5
10.9	0	168	282	54	40	20	26	716
10.66	0	90	176	4	44	15	28	640
10.87	0	74	124	24	40	20	28	590
10.99	0	92	210	58	30	25	30	720
11.12	0	108	202	14	32	20	28	717
10.96	0	152	266	38	22	35	36	926
11.37	0	194	334	54	38	30	36	1143
11.34	0	186	290	70	40	20	34	1174
11.2	0	212	284	140	36	30	36	1392
11.18	0	156	276	36	34	25	34	992
11.07	0	158	250	66	32	50	40	1082
11.23	0	154	304	116	34	35	42	1139
10.95	0	120	218	22	38	40	34	1146
10.74	0	86	154	18	40	100	42	1128
10.25	0	60	180	34	24	20	40	1045
10.29	0	50	100	38	22	20	30	1121
9.95	0	42	98	28	20	20	34	791
9.93	0	30	150	22	20	20	34	764
9.76	56	38	132	30	30	40	28	694
9.92	0	24	90	22	26	60	28	539
10.53	0	56	172	44	42	30	34	844
10.23	0	58	106	10	46	50	20	441
11.3	0	90	172	8	34	35	24	672
11.16	0	112	172	52	38	80	32	898
11.48	0	140	204	76	44	60	26	871
11.33	0	120	170	70	38	35	22	421
11.15	0	108	208	8	18	30	36	493
11.38	0	96	162	30	48	50	26	515
11.59	0	158	248	68	30	40	26	593
11.38	0	172	300	44	54	35	30	678
11.43	0	190	272	108	32	45	20	370
11.18	0	212	324	100	20	30	26	422
11.38	0	218	306	130	30	40	26	513
11.52	0	240	318	162	22	35	28	549
11.41	0	242	442	42	20	30	34	710
11.47	0	238	368	108	38	30	34	737
11.68	0	336	426	246	34	35	30	845
11.41	0	254	498	10	26	30	24	805
11.27	0	252	414	90	24	20	28	670
11.19	0	176	238	114	28	30	28	727
11.42	0	240	324	156	26	30	28	806
11.36	0	262	432	92	20	25	28	913
11.2	0	158	216	100	26	40	26	468
11.6	0	238	290	186	26	35	30	62
11.2	0	186	272	100	28	40	36	681
11.5	0	196	246	146	16	40	34	775
11.2	0	234	356	112	30	30	30	930
11.3	0	186	232	140	20	30	40	907
11.4	0	206	322	90	22	40	36	1095
11.3	0	236	410	62	24	35	34	1270
11.4	0	222	274	170	20	40	32	1276
11.4	0	224	352	96	24	40	28	1288
11.2	0	182	310	54	24	30	32	1062
11.3	0	196	246	146	28	30	40	1345
11.1	0	170	328	12	20	25	38	1203
10.8	0	122	174	70	20	35	38	1169
11.0	0	102	170	34	22	30	44	1246
10.7	0	90	236	64	22	20	34	1330
10.6	0	90	160	20	26	30	40	1348
10.9	0	96	156	36	16	45	48	1317
10.8	0	84	238	70	36	35	52	1267
10.5	20	56	118	60	32	35	44	1208
10.1	20	44	90	36	16	25	24	880
10.0	18	40	176	30	14	20	28	1047
9.8	30	30	124	30	22	35	30	1052
10.2	30	48	134	38	16	25	28	1051
11.1	18	100	148	52	22	30	36	1256
11.7	0	216	334	98	12	35	28	560
11.9	0	368	462	274	22	25	34	784
12.0	0	422	510	334	20	60	38	952
12.0	0	542	750	334	22	45	26	1068
12.2	0	526	654	398	32	40	28	1089
12.2	0	530	678	382	24	45	28	1117
11.7	0	552	734	370	20	35	34	1261
12.1	0	500	610	390	26	40	34	1311
11.6	0	422	606	238	20	35	40	1242
11.3	0	370	440	300	22	30	44	1250
11.9	0	310	498	122	26	25	34	1221
11.6	0	234	326	142	24	30	36	1190
11.3	0	180	304	56	28	30	28	1108
11.1	0	110	244	48	22	35	34	1032
10.8	0	68	122	60	20	15	30	949
10.3	0	58	164	48	22	25	36	867
10.0	0	36	180	22	24	20	24	935
9.1	0	20	72	26	20	30	26	876
10.5	0	1480	1586	1360	30	30	18	1360
9.5	0	32	94	34	22	35	24	420
9.9	0	64	134	48	14	40	26	527
10.0	0	62	118	6	18	35	32	552
9.9	0	48	94	50	30	40	36	677
9.7	0	58	106	10	18	40	32	653
10.1	0	64	122	6	22	30	34	750
10.4	0	66	118	14	30	30	36	747
10.1	0	88	214	78	20	40	32	885
11.0	0	174	260	88	30	50	40	879
11.4	0	302	392	212	24	35	42	1242
11.8	0	344	426	262	222	40	46	1258
11.7	0	368	436	300	18	40	34	1281
11.7	0	470	670	270	12	35	36	1445
11.4	0	480	632	328	20	30	50	1457
