m1	m2	m3
10.9	10.66	10.87
10.99	11.12	10.96
11.37	11.34	11.2
11.18	11.07	11.23
10.95	10.74	10.25
10.29	9.95	9.93
9.76	9.92	10.53
10.23	11.3	11.16
11.48	11.33	11.15
11.38	11.59	11.38
11.43	11.18	11.38
11.52	11.41	11.47
11.68	11.41	11.27
11.19	11.42	11.36
11.2	11.6	11.2
11.5	11.2	11.3
11.4	11.3	11.4
11.4	11.2	11.3
11.1	10.8	11.0
10.7	10.6	10.9
10.8	10.5	10.1
10.0	9.8	10.2
11.1	11.7	11.9
12.0	12.0	12.2
12.2	11.7	12.1
11.6	11.3	11.9
11.6	11.3	11.1
10.8	10.3	10.0
9.1	10.5	9.5
9.9	10.0	9.9
9.7	10.1	10.4
10.1	11.0	11.4
11.8	11.7	11.7
11.4	11.9	11.7
11.3	11.5	11.3
11.4	11.9	11.4
11.4	11.8	11.6
11.8	11.5	11.5
11.5	11.2	11.1
11.4	11.1	11.3
11.3	11.5	11.6
11.4	11.1	11.5
11.3	10.9	11.0
10.6	10.4	10.2
10.2	11.1	10.8
10.8	11.2	11.1
11.1	11.5	11.2
11.6	11.5	11.4
11.2	11.5	11.0
11.0	10.8	10.2
10.0	10.0	9.2
9.9	10.3	11.1
11.3	11.0	11.6
11.6	11.0	11.2
11.5	11.6	11.7
11.7	11.5	11.5
11.8	11.5	11.8
11.4	11.7	11.7
11.2	11.1	10.0
9.8	8.9	8.6
10.2	10.4	10.0
9.0	9.8	9.4
8.4	9.8	10.6
10.7	10.7	10.8
11.6	11.9	12.0
11.9	11.6	11.4
11.5	11.3	10.7
9.9	10.0	8.7
11.0	11.3	11.8
11.9	12.0	11.9
12.0	11.9	12.0
12.0	11.8	11.9
11.8	11.4	10.6
10.7	10.7	11.2
11.6	11.7	11.8
11.8	11.8	12.0
11.8	12.0	12.0
11.8	11.9	12.0
11.8	11.9	11.9
11.6	11.5	11.5
11.1	11.0	10.4
10.3	9.5	10.9
11.2	11.5	11.5
11.8	11.7	11.6
11.9	11.9	11.8
11.0	11.8	12.1
12.1	12.1	12.2
12.1	12.1	12.1
12.1	12.1	12.0
12.0	11.7	11.4
11.1	10.2	10.0
10.5	11.1	11.3
11.4	11.9	12.0
11.6	11.7	11.9
11.7	11.6	11.4
11.0	11.4	11.6
11.5	11.7	11.8
11.3	11.0	10.4
10.1	10.7	10.6
11.2	11.2	11.0
